"log Re_x",    "10 + log c_f",
6.21792292242,  7.51882103534,
6.24104149769,  7.51423369734,
6.30306959679,  7.49923416728,
6.35345790879,  7.49420473493,
6.38393457004,  7.48795031834,
6.51319930100,  7.46126557338,
6.55934507378,  7.46080468133,
6.57511426572,  7.45705453773,
6.58980432974,  7.45621003310,
6.59409038219,  7.44749207189,
6.64977860472,  7.43706317076,
6.69805217409,  7.43369559542,
6.73268869944,  7.43075653830,
6.77477903985,  7.41702167655,
6.83572801103,  7.40492778546,
6.88505895171,  7.40072928161,
6.91656687634,  7.39613358908,
6.92279796985,  7.40193651247,
6.93754895238,  7.39528281854,
6.94595135570,  7.39402963773,
7.07724815417,  7.37356693552,
7.10878218673,  7.36648159043,
7.15075939276,  7.36353522308,
7.18758028190,  7.35229523548,
