"Set", "Temperature", "Bulk velocity", "Pressure drop",    "Units", "Wall shear stress", "Reynolds number", "Friction factor",
    1,          57.1,           5.28,            0.400, "cm water",               0.880,              67.4,           0.03160,
    1,          56.9,           5.54,            0.401, "cm water",               0.882,              70.5,           0.02880,
    1,          56.7,           5.83,            0.442, "cm water",               0.972,              73.9,           0.02870,
    1,          56.6,           6.18,            0.460, "cm water",               1.012,              78.2,           0.02660,
    1,          52.7,           7.76,            0.601, "cm water",               1.321,              92.8,           0.02200,
    1,          56.3,           8.29,            0.648, "cm water",               1.425,             104.7,           0.02080,
    1,          56.4,           8.80,            0.670, "cm water",               1.470,             111.3,           0.01910,
    1,          56.9,          10.89,            0.817, "cm water",               1.796,             138.5,           0.01516,
    1,          57.2,          11.42,            0.860, "cm water",               1.891,             146.0,           0.01452,
    1,          53.1,          16.57,            1.290, "cm water",               2.837,             198.9,           0.01034,
    1,          52.9,          16.76,            1.322, "cm water",               2.907,             201.0,           0.01036,
    1,          52.4,          28.90,            2.399, "cm water",               5.276,             343.0,           0.00632,
    1,          52.4,          29.40,            2.450, "cm water",               5.388,             350.0,           0.00622,
    1,          51.6,          39.60,            3.470, "cm water",               7.630,             465.0,           0.00486,
    1,          58.7,          38.30,            3.150, "cm water",               6.930,             501.0,           0.00472,
    1,          58.7,          40.20,            3.290, "cm water",               7.230,             525.0,           0.00449,
    1,          58.7,          42.50,            3.540, "cm water",               7.780,             556.0,           0.00432,
    1,          49.3,          54.80,            5.960, "cm water",              13.100,             621.0,           0.00437,
    1,          56.8,          49.90,            5.090, "cm water",              11.190,             635.0,           0.00450,
    1,          57.0,          49.90,            5.100, "cm water",              11.220,             636.0,           0.00452,
    1,          53.1,          61.10,            8.080, "cm water",              17.770,             733.0,           0.00478,
    1,          49.2,          69.90,           10.780, "cm water",              23.700,             788.0,           0.00487,
    1,          51.0,          70.40,           11.010, "cm water",              24.200,             817.0,           0.00491,
    1,          50.0,          81.10,            5.560, "in water",              31.000,             929.0,           0.00473,
    1,          56.1,          79.40,           13.520, "cm water",              29.700,             999.0,           0.00472,
    1,          56.4,          79.40,           13.540, "cm water",              29.800,            1005.0,           0.00473,
    1,          49.8,         107.50,            9.210, "in water",              51.400,            1225.0,           0.00446,
    1,          49.8,         143.90,           15.450, "in water",              86.300,            1642.0,           0.00418,
    1,          50.5,         168.50,           20.320, "in water",             113.500,            1945.0,           0.00401,
    1,          50.5,         186.30,           24.250, "in water",             135.400,            2150.0,           0.00391,
    1,          51.0,         215.00,           31.200, "in water",             174.200,            2500.0,           0.00378,
    1,          49.0,         304.00,            4.330, "in mercury",           329.000,            3430.0,           0.00355,
    1,          48.9,         449.00,            8.590, "in mercury",           652.000,            5050.0,           0.00324,
    1,          48.8,         582.00,           13.460, "in mercury",          1022.000,            6530.0,           0.00302,
    1,          48.8,         742.00,           20.810, "in mercury",          1580.000,            8330.0,           0.00287,
    1,          49.0,         745.00,           20.850, "in mercury",          1583.000,            8400.0,           0.00285,
    1,          48.8,         764.00,           21.700, "in mercury",          1650.000,            8580.0,           0.00283,
    1,          48.6,         927.00,           30.580, "in mercury",          2322.000,           10370.0,           0.00271,
    1,          48.7,         939.00,           30.910, "in mercury",          2347.000,           10520.0,           0.00266,
    1,          48.8,         942.00,           31.120, "in mercury",          2363.000,           10570.0,           0.00267,
    1,          49.1,         952.00,           32.000, "in mercury",          2430.000,           10740.0,           0.00269,
    1,          55.2,        1074.00,           38.700, "in mercury",          2940.000,           13320.0,           0.00256,
    1,          54.0,        1131.00,           43.000, "in mercury",          3260.000,           13760.0,           0.00256,
    1,          54.2,        1150.00,           43.900, "in mercury",          3330.000,           14040.0,           0.00253,
    1,          54.6,        1285.00,           53.400, "in mercury",          4050.000,           15810.0,           0.00246,
    1,          54.9,        1290.00,           53.900, "in mercury",          4090.000,           15930.0,           0.00247,
    2,          55.7,           7.17,            0.297, "cm water",               1.199,              89.7,           0.02350,
    2,          55.5,           7.32,            0.299, "cm water",               1.208,              91.4,           0.02260,
    2,          56.6,          12.21,            0.510, "cm water",               2.060,             154.8,           0.01390,
    2,          54.3,          18.48,            0.820, "cm water",               3.312,             238.0,           0.00874,
    2,          54.9,          20.40,            0.852, "cm water",               3.441,             251.0,           0.00831,
    2,          56.3,          29.60,            1.261, "cm water",               5.093,             374.0,           0.00580,
    2,          55.2,          33.20,            1.433, "cm water",               5.788,             412.0,           0.00525,
    2,          54.5,          35.60,            1.551, "cm water",               6.264,             438.0,           0.00493,
    2,          53.9,          40.40,            1.793, "cm water",               7.242,             491.0,           0.00445,
    2,          58.9,          40.80,            1.696, "cm water",               6.850,             535.0,           0.00412,
    2,          58.9,          40.90,            1.692, "cm water",               6.834,             536.0,           0.00410,
    2,          59.5,          41.10,            1.722, "cm water",               6.955,             544.0,           0.00413,
    2,          59.7,          45.00,            0.810, "in water",               8.300,             598.0,           0.00411,
    2,          59.7,          45.20,            0.810, "in water",               8.300,             600.0,           0.00407,
    2,          59.7,          45.50,            0.820, "in water",               8.400,             604.0,           0.00408,
    2,          59.6,          45.60,            2.030, "cm water",               8.200,             604.0,           0.00396,
    2,          59.5,          48.00,            2.490, "cm water",              10.060,             635.0,           0.00437,
    2,          59.5,          46.90,            1.130, "in water",              11.600,             659.0,           0.00469,
    2,          59.5,          46.90,            1.100, "in water",              11.300,             659.0,           0.00457,
    2,          59.5,          46.60,            2.840, "cm water",              11.470,             663.0,           0.00458,
    2,          59.1,          53.80,            3.500, "cm water",              14.130,             707.0,           0.00490,
    2,          58.7,          67.40,            5.490, "cm water",              22.200,             881.0,           0.00489,
    2,          59.7,          94.30,            9.810, "cm water",              39.600,            1250.0,           0.00447,
    2,          49.8,         110.50,            5.260, "in water",              54.000,            1260.0,           0.00444,
    2,          56.2,         100.40,           11.220, "cm water",              45.300,            1264.0,           0.00451,
    2,          49.4,         157.80,           10.000, "in water",             102.600,            1789.0,           0.00413,
    2,          49.6,         184.10,           13.190, "in water",             135.400,            2096.0,           0.00401,
    2,          49.8,         195.90,           14.750, "in water",             151.400,            2240.0,           0.00396,
    2,          51.9,         197.60,           14.830, "in water",             152.100,            2330.0,           0.00391,
    2,          51.7,         224.00,           18.310, "in water",             187.900,            2620.0,           0.00378,
    2,          51.5,         255.00,           23.440, "in water",             240.500,            2990.0,           0.00369,
    2,          51.5,         265.00,           24.900, "in water",             255.500,            3100.0,           0.00364,
    2,          51.5,         272.00,           26.200, "in water",             268.800,            3190.0,           0.00363,
    2,          48.9,         449.00,            4.710, "in mercury",           657.000,            5050.0,           0.00326,
    2,          48.8,         764.00,           11.840, "in mercury",          1651.000,            8580.0,           0.00283,
    2,          48.8,         942.00,           17.010, "in mercury",          2373.000,           10570.0,           0.00268,
