"Test no.", "Nozzle throat diameter", "Temperature", "Pressure", "Density", "Mean velocity", "Hydraulic diameter", "Pressure gradient", "h_f/(L/D)", "0.5*V^2/g",  "R_e",    "f",
         2,                      9.0,          79.0,       6.51,    0.0699,          3780.0,                 7.92,            0.019700,      0.9700,      61.600, 2.36e5, 0.0158,
         3,                      9.0,          78.0,       7.41,    0.0693,          4070.0,                 7.87,            0.022800,      1.1300,      71.200, 2.50e5, 0.0158,
         5,                      9.0,          77.0,       1.81,    0.0706,          1950.0,                 8.02,            0.006020,      0.2960,      16.400, 1.25e5, 0.0180,
         6,                      9.0,          76.0,       4.21,    0.0703,          3010.0,                 7.95,            0.013200,      0.6480,      39.100, 1.90e5, 0.0166,
         7,                      7.0,          77.0,       5.26,    0.0698,          2200.0,                 7.94,            0.007400,      0.3650,      20.800, 1.38e5, 0.0175,
         8,                      7.0,          78.0,       3.14,    0.0705,          1670.0,                 7.99,            0.004580,      0.2250,      12.100, 1.06e5, 0.0186,
        14,                      4.0,          83.0,       0.86,    0.0688,           300.0,                 8.03,            0.000222,      0.0112,       0.388, 1.86e4, 0.0290,
        15,                      4.0,          74.0,       6.40,    0.0696,           825.0,                 7.92,            0.001260,      0.0618,       2.940, 5.15e4, 0.0210,
        16,                      4.0,          74.0,       3.57,    0.0704,           602.0,                 7.97,            0.000739,      0.0363,       1.570, 3.83e4, 0.0231,
        17,                      4.0,          75.0,       1.97,    0.0706,           448.0,                 8.00,            0.000429,      0.0211,       0.866, 2.87e4, 0.0244,
        18,                      4.0,          75.0,       0.98,    0.0708,           318.0,                 8.03,            0.000238,      0.0117,       0.436, 2.05e4, 0.0268,
        19,                      6.0,          73.0,       1.05,    0.0710,           723.0,                 8.03,            0.001050,      0.0512,       2.260, 4.67e4, 0.0226,
        20,                      6.0,          75.0,       3.05,    0.0707,          1230.0,                 7.98,            0.002690,      0.1310,       6.550, 7.89e4, 0.0201,
        21,                      7.0,          70.0,       1.07,    0.0722,           955.0,                 8.02,            0.001730,      0.0833,       3.920, 6.30e4, 0.0212,
        22,                      7.0,          70.0,       5.08,    0.0715,          2140.0,                 7.93,            0.007390,      0.0356,      19.800, 1.38e5, 0.0180,
        23,                      9.0,          75.0,       1.36,    0.0722,          1646.0,                 8.00,            0.004710,      0.2270,      11.700, 1.08e5, 0.0194,
        24,                      9.0,          79.0,      10.35,    0.0698,          7950.0,                 7.83,            0.078500,      3.8200,     273.000, 4.91e5, 0.0140,
        25,                      9.0,          79.0,       4.82,    0.0695,          5330.0,                 7.95,            0.037200,      1.8400,     123.000, 3.33e5, 0.0150,
