"Reynolds number", "Drag coefficient",
             5.06,              6.220,
             5.76,              5.440,
             7.23,              4.800,
             9.48,              4.270,
            11.70,              3.680,
            12.00,              3.450,
            13.30,              3.240,
            15.00,              3.160,
            16.10,              2.990,
            18.00,              2.880,
            19.30,              2.590,
            20.90,              2.690,
            22.30,              2.480,
            24.20,              2.450,
            24.20,              2.350,
            24.50,              2.330,
            25.50,              2.470,
            32.50,              2.000,
            35.60,              2.050,
            36.20,              1.970,
            43.90,              1.660,
            46.70,              1.780,
            54.20,              1.680,
            64.00,              1.530,
            68.00,              1.530,
            71.40,              1.470,
            72.20,              1.440,
            79.00,              1.440,
            79.10,              1.380,
            87.10,              1.380,
            91.80,              1.360,
            97.30,              1.300,
           107.00,              1.270,
           108.00,              1.240,
           108.00,              1.280,
           117.00,              1.230,
           117.00,              1.210,
           117.00,              1.200,
           117.00,              1.250,
           117.00,              1.230,
           121.00,              1.150,
           122.00,              1.250,
           123.00,              1.210,
           131.00,              1.230,
           131.00,              1.180,
           131.00,              1.140,
           132.00,              1.170,
           136.00,              1.140,
           138.00,              1.210,
           142.00,              1.150,
           142.00,              1.090,
           142.00,              1.160,
           148.00,              1.090,
           156.00,              1.070,
           158.00,              1.080,
           169.00,              1.070,
           173.00,              1.020,
           174.00,              1.020,
           178.00,              1.080,
           186.00,              1.010,
           191.00,              1.090,
           199.00,              1.010,
           205.00,              1.060,
           209.00,              1.070,
           229.00,              1.080,
           231.00,              1.060,
           255.00,              1.060,
           256.00,              1.130,
           270.00,              1.040,
           270.00,              1.020,
           279.00,              1.040,
           290.00,              1.090,
           309.00,              1.020,
           309.00,              1.010,
           312.00,              1.010,
           314.00,              1.020,
           325.00,              1.030,
           353.00,              1.000,
           358.00,              1.040,
           374.00,              1.020,
           383.00,              1.000,
           384.00,              0.994,
           409.00,              1.070,
           420.00,              1.120,
           436.00,              1.000,
           481.00,              1.020,
           494.00,              1.080,
           517.00,              1.010,
           530.00,              1.140,
           530.00,              1.080,
           535.00,              1.030,
           555.00,              1.170,
           572.00,              1.140,
           586.00,              1.020,
           590.00,              1.020,
           594.00,              1.030,
           645.00,              1.060,
           673.00,              1.060,
           697.00,              1.040,
           707.00,              1.180,
           711.00,              1.110,
           722.00,              1.150,
           722.00,              1.040,
           745.00,              1.080,
           746.00,              1.140,
           771.00,              1.120,
           800.00,              1.120,
           803.00,              1.140,
           808.00,              1.090,
          1020.00,              1.100,
          1030.00,              1.070,
          1130.00,              1.110,
          1140.00,              1.110,
          1180.00,              1.070,
          1180.00,              1.080,
          1320.00,              1.110,
          1540.00,              1.080,
          1660.00,              1.090,
          2250.00,              1.180,
          9020.00,              1.200,
         12000.00,              1.240,
         12700.00,              1.280,
         13000.00,              1.280,
         15300.00,              1.240,
         16000.00,              1.190,
         22400.00,              1.270,
         28800.00,              1.270,
         38200.00,              1.240,
         38700.00,              1.150,
         50100.00,              1.160,
         60400.00,              1.170,
