"Temperature [K]", "Pressure [atm], "eta/eta_0",
100.0,                         1.0,      0.4038,
110.0,                         1.0,      0.4448,
120.0,                         1.0,      0.4848,
130.0,                         1.0,      0.5239,
140.0,                         1.0,      0.5621,
150.0,                         1.0,      0.5994,
160.0,                         1.0,      0.6359,
170.0,                         1.0,      0.6716,
180.0,                         1.0,      0.7065,
190.0,                         1.0,      0.7407,
200.0,                         1.0,      0.7742,
210.0,                         1.0,      0.8070,
220.0,                         1.0,      0.8391,
230.0,                         1.0,      0.8706,
240.0,                         1.0,      0.9015,
250.0,                         1.0,      0.9319,
260.0,                         1.0,      0.9617,
270.0,                         1.0,      0.9909,
280.0,                         1.0,      1.0200,
290.0,                         1.0,      1.0760,
300.0,                         1.0,      1.0760,
310.0,                         1.0,      1.1030,
320.0,                         1.0,      1.1300,
330.0,                         1.0,      1.1570,
340.0,                         1.0,      1.1830,
350.0,                         1.0,      1.2090,
360.0,                         1.0,      1.2340,
370.0,                         1.0,      1.2590,
380.0,                         1.0,      1.2830,
390.0,                         1.0,      1.3080,
400.0,                         1.0,      1.3320,
410.0,                         1.0,      1.3560,
420.0,                         1.0,      1.3790,
430.0,                         1.0,      1.4020,
440.0,                         1.0,      1.4250,
450.0,                         1.0,      1.4480,
460.0,                         1.0,      1.4700,
470.0,                         1.0,      1.4910,
480.0,                         1.0,      1.5130,
490.0,                         1.0,      1.5340,
500.0,                         1.0,      1.5560,
510.0,                         1.0,      1.5770,
520.0,                         1.0,      1.5980,
530.0,                         1.0,      1.6190,
540.0,                         1.0,      1.6400,
550.0,                         1.0,      1.6600,
560.0,                         1.0,      1.6800,
570.0,                         1.0,      1.7000,
580.0,                         1.0,      1.7200,
590.0,                         1.0,      1.7390,
600.0,                         1.0,      1.7580,
610.0,                         1.0,      1.7770,
620.0,                         1.0,      1.7960,
630.0,                         1.0,      1.8150,
640.0,                         1.0,      1.8340,
650.0,                         1.0,      1.8520,
660.0,                         1.0,      1.8700,
670.0,                         1.0,      1.8880,
680.0,                         1.0,      1.9060,
690.0,                         1.0,      1.9240,
700.0,                         1.0,      1.9429,
710.0,                         1.0,      1.9590,
720.0,                         1.0,      1.9770,
730.0,                         1.0,      1.9940,
740.0,                         1.0,      2.0120,
750.0,                         1.0,      2.0290,
760.0,                         1.0,      2.0460,
770.0,                         1.0,      2.0630,
780.0,                         1.0,      2.0800,
790.0,                         1.0,      2.0960,
800.0,                         1.0,      2.1120,
810.0,                         1.0,      2.1280,
820.0,                         1.0,      2.1450,
830.0,                         1.0,      2.1610,
840.0,                         1.0,      2.1770,
850.0,                         1.0,      2.1930,
860.0,                         1.0,      2.2090,
870.0,                         1.0,      2.2250,
880.0,                         1.0,      2.2400,
890.0,                         1.0,      2.2560,
900.0,                         1.0,      2.2710,
910.0,                         1.0,      2.2860,
920.0,                         1.0,      2.3010,
930.0,                         1.0,      2.3160,
940.0,                         1.0,      2.3310,
950.0,                         1.0,      2.3460,
960.0,                         1.0,      2.3620,
970.0,                         1.0,      2.3770,
980.0,                         1.0,      2.3910,
990.0,                         1.0,      2.4060,
1000.0,                        1.0,      2.4200,
1010.0,                        1.0,      2.4350,
1020.0,                        1.0,      2.4500,
1030.0,                        1.0,      2.4640,
1040.0,                        1.0,      2.4780,
1050.0,                        1.0,      2.4920,
1060.0,                        1.0,      2.5060,
1070.0,                        1.0,      2.5200,
1080.0,                        1.0,      2.5340,
1090.0,                        1.0,      2.5480,
1100.0,                        1.0,      2.5620,
1110.0,                        1.0,      2.5760,
1120.0,                        1.0,      2.5890,
1130.0,                        1.0,      2.6020,
1140.0,                        1.0,      2.6160,
1150.0,                        1.0,      2.6290,
1170.0,                        1.0,      2.6420,
1180.0,                        1.0,      2.6690,
1190.0,                        1.0,      2.6830,
1200.0,                        1.0,      2.6960,
1210.0,                        1.0,      2.7090,
1220.0,                        1.0,      2.7220,
1230.0,                        1.0,      2.7350,
1240.0,                        1.0,      2.7470,
1250.0,                        1.0,      2.7600,
1260.0,                        1.0,      2.7730,
1270.0,                        1.0,      2.7860,
1280.0,                        1.0,      2.7990,
1290.0,                        1.0,      2.8120,
1300.0,                        1.0,      2.8240,
1310.0,                        1.0,      2.8370,
1320.0,                        1.0,      2.8490,
1330.0,                        1.0,      2.8620,
1340.0,                        1.0,      2.8740,
1350.0,                        1.0,      2.8860,
1360.0,                        1.0,      2.8980,
1370.0,                        1.0,      2.9110,
1380.0,                        1.0,      2.9230,
1390.0,                        1.0,      2.9350,
1400.0,                        1.0,      2.9470,
1410.0,                        1.0,      2.9600,
1420.0,                        1.0,      2.9720,
1430.0,                        1.0,      2.9840,
1440.0,                        1.0,      2.9950,
1450.0,                        1.0,      3.0070,
1460.0,                        1.0,      3.0190,
1470.0,                        1.0,      3.0310,
1480.0,                        1.0,      3.0420,
1490.0,                        1.0,      3.0540,
1500.0,                        1.0,      3.0660,
1600.0,                        1.0,      3.1800,
1700.0,                        1.0,      3.2900,
1800.0,                        1.0,      3.3970,
1900.0,                        1.0,      3.5010,
